1;-25;-26;-30;7;-2;6
2;26;-3;-1;8;9;-7
3;27;-28;-26;9;4;-2
4;-28;5;3;10;-11;-9
5;-29;-30;28;11;-6;4
6;30;1;-5;-12;7;-11
7;1;-2;6;-13;8;-12
8;2;-9;7;14;-15;-13
9;3;-4;2;-15;10;-8
10;4;-11;9;16;-17;-15
11;5;-6;-4;17;12;-10
12;-6;-7;11;-18;13;17
13;-7;-8;12;19;-14;18
14;8;15;-13;-20;-21;19
15;-9;-10;-8;21;16;14
16;10;-17;15;-22;23;-21
17;11;12;-10;23;-18;-16
18;-12;13;-17;24;-19;-23
19;13;14;-18;25;-20;-24
20;-14;21;-19;26;-27;-25
21;15;-16;-14;-27;-22;20
22;-16;23;-21;28;-29;27
23;17;-18;16;-29;-24;22
24;18;-19;-23;-30;25;29
25;19;-20;24;-1;-26;30
26;20;-27;-25;2;3;-1
27;-21;22;-20;3;28;-26
28;22;-29;27;-4;5;-3
29;-23;24;-22;-5;30;-28
30;-24;25;29;6;-1;-5
